Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-10-13;Est-Nord;178000.0;75;14.0;1.0;12714
2021-03-12;Est-Nord;200000.0;75;8.0;1.0;25000
2021-03-12;Est-Nord;200000.0;75;12.0;1.0;16667
2021-06-30;Est-Nord;245000.0;75;23.0;1.0;10652
2021-02-26;Est-Nord;1154000.0;75;40.0;1.0;28850
2021-06-24;Est-Nord;10000.0;75;19.0;1.0;526
2021-02-26;Est-Nord;1154000.0;75;32.0;1.0;36062
2021-03-05;Est-Nord;560000.0;75;35.0;1.0;16000
2021-03-09;Est-Nord;165380.0;75;13.0;1.0;12722
2021-03-12;Est-Nord;200000.0;75;8.0;1.0;25000
2021-06-29;Est-Nord;135500.0;75;10.0;1.0;13550
2021-06-29;Est-Nord;231000.0;75;24.0;1.0;9625
2021-09-28;Est-Nord;192000.0;75;22.0;1.0;8727
2021-06-28;Est-Nord;237500.0;75;26.0;1.0;9135
2021-06-28;Est-Nord;270000.0;75;22.0;1.0;12273
2021-10-06;Est-Nord;396700.0;75;30.0;1.0;13223
2021-07-15;Est-Nord;75000.0;75;10.0;1.0;7500
2021-09-30;Est-Nord;212785.0;75;25.0;1.0;8511
2021-07-05;Est-Nord;247000.0;75;25.0;1.0;9880
2021-07-05;Est-Nord;1500.0;75;21.0;1.0;71
2021-10-11;Est-Nord;170000.0;75;17.0;1.0;10000
2021-03-11;Est-Nord;200000.0;75;15.0;1.0;13333
2021-02-19;Est-Nord;296500.0;75;29.0;1.0;10224
2021-09-20;Est-Nord;217500.0;75;21.0;1.0;10357
2021-06-24;Est-Nord;240000.0;75;22.0;1.0;10909
2021-03-05;Est-Nord;424000.0;75;25.0;1.0;16960
2021-03-08;Est-Nord;165000.0;75;18.0;1.0;9167
2021-06-29;Est-Nord;250000.0;75;28.0;1.0;8929
2021-02-26;Est-Nord;165000.0;75;15.0;1.0;11000
2021-06-21;Est-Nord;83000.0;75;12.0;1.0;6917
2021-03-10;Est-Nord;200000.0;75;13.0;1.0;15385
2021-07-09;Est-Nord;390000.0;75;21.0;1.0;18571
2021-02-12;Est-Nord;186000.0;75;17.0;1.0;10941
2021-03-03;Est-Nord;370000.0;75;30.0;1.0;12333
2021-07-13;Est-Nord;145000.0;75;12.0;1.0;12083
2021-06-24;Est-Nord;1000.0;75;10.0;1.0;100
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-02-15;Est-Nord;268000.0;75;27.0;1.0;9926
2021-02-12;Est-Nord;350000.0;75;15.0;1.0;23333
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-02-12;Est-Nord;350000.0;75;15.0;1.0;23333
2021-06-24;Est-Nord;1000.0;75;28.0;1.0;36
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-02-16;Est-Nord;165000.0;75;18.0;1.0;9167
2021-10-04;Est-Nord;200000.0;75;19.0;1.0;10526
2021-06-24;Est-Nord;1000.0;75;19.0;1.0;53
2021-09-21;Est-Nord;250000.0;75;27.0;1.0;9259
2021-06-24;Est-Nord;1000.0;75;17.0;1.0;59
2021-02-24;Est-Nord;86120.0;75;11.0;1.0;7829
2021-02-10;Est-Nord;186050.0;75;21.0;1.0;8860
2021-07-02;Est-Nord;260000.0;75;10.0;1.0;26000
2021-07-09;Est-Nord;295000.0;75;20.0;1.0;14750
2021-10-11;Est-Nord;165000.0;75;15.0;1.0;11000
2021-06-24;Est-Nord;1000.0;75;17.0;1.0;59
2021-06-30;Est-Nord;120000.0;75;16.0;1.0;7500
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-06-24;Est-Nord;1000.0;75;19.0;1.0;53
2021-06-25;Est-Nord;350000.0;75;33.0;1.0;10606
2021-07-12;Est-Nord;110000.0;75;12.0;1.0;9167
2021-06-25;Est-Nord;261400.0;75;25.0;1.0;10456
2021-02-17;Est-Nord;532000.0;75;11.0;1.0;48364
2021-02-17;Est-Nord;532000.0;75;11.0;1.0;48364
2021-02-24;Est-Nord;135000.0;75;11.0;1.0;12273
2021-06-24;Est-Nord;1000.0;75;16.0;1.0;62
2021-06-24;Est-Nord;1000.0;75;8.0;1.0;125
2021-02-19;Est-Nord;90000.0;75;13.0;1.0;6923
2021-06-24;Est-Nord;1000.0;75;19.0;1.0;53
2021-06-24;Est-Nord;1000.0;75;13.0;1.0;77
2021-06-24;Est-Nord;1000.0;75;10.0;1.0;100
2021-06-24;Est-Nord;1000.0;75;32.0;1.0;31
2021-06-30;Est-Nord;160000.0;75;14.0;1.0;11429
2021-07-02;Est-Nord;170500.0;75;14.0;1.0;12179
2021-02-12;Est-Nord;530000.0;75;39.0;1.0;13590
2021-07-15;Est-Nord;295000.0;75;25.0;1.0;11800
2021-06-25;Est-Nord;216000.0;75;22.0;1.0;9818
2021-06-23;Est-Nord;140000.0;75;9.0;1.0;15556
2021-03-12;Est-Nord;450000.0;75;54.0;1.0;8333
2021-07-14;Est-Nord;120000.0;75;10.0;1.0;12000
2021-07-08;Est-Nord;269500.0;75;21.0;1.0;12833
2021-06-30;Est-Nord;200000.0;75;29.0;1.0;6897
2021-09-16;Est-Nord;198000.0;75;29.0;1.0;6828
2021-12-23;Est-Nord;189900.0;75;15.0;1.0;12660
2021-07-01;Est-Nord;270076.0;75;22.0;1.0;12276
2021-12-17;Est-Nord;430000.0;75;29.0;1.0;14828
2021-06-30;Est-Nord;288910.0;75;16.0;1.0;18057
2021-07-13;Est-Nord;191000.0;75;16.0;1.0;11938
2021-07-23;Est-Nord;219000.0;75;28.0;1.0;7821
2021-07-21;Est-Nord;220000.0;75;16.0;1.0;13750
2021-12-17;Est-Nord;310000.0;75;31.0;1.0;10000
2021-10-11;Est-Nord;153000.0;75;18.0;1.0;8500
2021-12-16;Est-Nord;560000.0;75;25.0;1.0;22400
2021-12-16;Est-Nord;560000.0;75;27.0;1.0;20741
2021-07-26;Est-Nord;280463.0;75;10.0;1.0;28046
2021-12-16;Est-Nord;560000.0;75;26.0;1.0;21538
2021-12-30;Est-Nord;165000.0;75;15.0;1.0;11000
2021-07-21;Est-Nord;215000.0;75;20.0;1.0;10750
2021-06-29;Est-Nord;523000.0;75;41.0;1.0;12756
2021-07-15;Est-Nord;250000.0;75;26.0;1.0;9615
2021-12-20;Est-Nord;290000.0;75;24.0;1.0;12083
2021-10-07;Est-Nord;185000.0;75;18.0;1.0;10278
2021-07-02;Est-Nord;52000.0;75;9.0;1.0;5778
2021-12-22;Est-Nord;270000.0;75;28.0;1.0;9643
2021-12-13;Est-Nord;367000.0;75;35.0;1.0;10486
2021-12-14;Est-Nord;315000.0;75;32.0;1.0;9844
2021-07-19;Est-Nord;102000.0;75;9.0;1.0;11333
2021-07-19;Est-Nord;102000.0;75;8.0;1.0;12750
2021-07-02;Est-Nord;186000.0;75;21.0;1.0;8857
2021-12-14;Est-Nord;290000.0;75;29.0;1.0;10000
2021-12-14;Est-Nord;290000.0;75;25.0;1.0;11600
2021-12-23;Est-Nord;175000.0;75;17.0;1.0;10294
2021-12-14;Est-Nord;250000.0;75;19.0;1.0;13158
2021-10-01;Est-Nord;280000.0;75;26.0;1.0;10769
2021-07-21;Est-Nord;248000.0;75;27.0;1.0;9185
2021-07-21;Est-Nord;158000.0;75;13.0;1.0;12154
2021-06-29;Est-Nord;185000.0;75;25.0;1.0;7400
2021-07-27;Est-Nord;50000.0;75;15.0;1.0;3333
2021-12-15;Est-Nord;227521.0;75;27.0;1.0;8427
2021-07-13;Est-Nord;277500.0;75;31.0;1.0;8952
2021-12-22;Est-Nord;164000.0;75;16.0;1.0;10250
2021-07-22;Est-Nord;75000.0;75;10.0;1.0;7500
2021-09-28;Est-Nord;231000.0;75;20.0;1.0;11550
2021-07-13;Est-Nord;70000.0;75;10.0;1.0;7000
2021-10-12;Est-Nord;183230.0;75;15.0;1.0;12215
2021-12-23;Est-Nord;1093405.0;75;28.0;1.0;39050
2021-09-30;Est-Nord;210000.0;75;20.0;1.0;10500
2021-07-30;Est-Nord;225000.0;75;22.0;1.0;10227
2021-12-15;Est-Nord;300000.0;75;29.0;1.0;10345
2021-12-28;Est-Nord;284100.0;75;23.0;1.0;12352
2021-07-15;Est-Nord;240000.0;75;20.0;1.0;12000
2021-12-15;Est-Nord;80000.0;75;9.0;1.0;8889
2021-07-28;Est-Nord;226000.0;75;22.0;1.0;10273
2021-12-21;Est-Nord;200000.0;75;28.0;1.0;7143
2021-12-06;Est-Nord;107500.0;75;14.0;1.0;7679
2021-07-27;Est-Nord;272381.0;75;27.0;1.0;10088
2021-07-23;Est-Nord;140000.0;75;14.0;1.0;10000
2021-07-09;Est-Nord;185000.0;75;17.0;1.0;10882
2021-11-29;Est-Nord;211000.0;75;25.0;1.0;8440
2021-07-27;Est-Nord;198512.0;75;19.0;1.0;10448
2021-07-29;Est-Nord;221281.0;75;23.0;1.0;9621
2021-09-24;Est-Nord;155000.0;75;27.0;1.0;5741
2021-12-20;Est-Nord;3000.0;75;17.0;1.0;176
2021-12-23;Est-Nord;335000.0;75;31.0;1.0;10806
2021-09-28;Est-Nord;103500.0;75;15.0;1.0;6900
2021-09-24;Est-Nord;205000.0;75;25.0;1.0;8200
2021-12-27;Est-Nord;158000.0;75;19.0;1.0;8316
2021-06-29;Est-Nord;300000.0;75;39.0;1.0;7692
2021-07-12;Est-Nord;100000.0;75;12.0;1.0;8333
2021-09-20;Est-Nord;176960.0;75;20.0;1.0;8848
2021-12-24;Est-Nord;354000.0;75;32.0;1.0;11062
2021-07-23;Est-Nord;249990.0;75;21.0;1.0;11904
2021-12-23;Est-Nord;220000.0;75;34.0;1.0;6471
2021-10-13;Est-Nord;295000.0;75;27.0;1.0;10926
2021-07-19;Est-Nord;218000.0;75;14.0;1.0;15571
2021-12-21;Est-Nord;220000.0;75;18.0;1.0;12222
2021-07-26;Est-Nord;295000.0;75;29.0;1.0;10172
2021-12-01;Est-Nord;298550.0;75;26.0;1.0;11483
2021-12-28;Est-Nord;201000.0;75;14.0;1.0;14357
2021-07-28;Est-Nord;165900.0;75;15.0;1.0;11060
2021-07-15;Est-Nord;395000.0;75;49.0;1.0;8061
2021-12-29;Est-Nord;320000.0;75;29.0;1.0;11034
2021-06-29;Est-Nord;610000.0;75;28.0;1.0;21786
2021-07-26;Est-Nord;365000.0;75;35.0;1.0;10429
2021-07-22;Est-Nord;255000.0;75;25.0;1.0;10200
2021-07-13;Est-Nord;1160000.0;75;27.0;1.0;42963
2021-06-25;Est-Nord;185000.0;75;16.0;1.0;11562
2021-09-21;Est-Nord;178255.0;75;14.0;1.0;12732
2021-07-01;Est-Nord;143000.0;75;12.0;1.0;11917
2021-01-11;Est-Nord;220000.0;75;23.0;1.0;9565
2021-01-20;Est-Nord;182000.0;75;18.0;1.0;10111
2021-07-06;Est-Nord;163300.0;75;14.0;1.0;11664
2021-07-15;Est-Nord;100000.0;75;10.0;1.0;10000
2021-10-12;Est-Nord;322000.0;75;30.0;1.0;10733
2021-01-22;Est-Nord;360000.0;75;19.0;1.0;18947
2021-07-21;Est-Nord;535000.0;75;9.0;1.0;59444
2021-07-12;Est-Nord;98000.0;75;17.0;1.0;5765
2021-01-11;Est-Nord;220000.0;75;9.0;1.0;24444
2021-07-21;Est-Nord;115000.0;75;8.0;1.0;14375
2021-01-07;Est-Nord;210000.0;75;17.0;1.0;12353
2021-01-22;Est-Nord;150000.0;75;11.0;1.0;13636
2021-01-06;Est-Nord;206000.0;75;18.0;1.0;11444
2021-06-30;Est-Nord;1550000.0;75;19.0;1.0;81579
2021-09-30;Est-Nord;188000.0;75;20.0;1.0;9400
2021-06-30;Est-Nord;1550000.0;75;26.0;1.0;59615
2021-10-12;Est-Nord;180000.0;75;25.0;1.0;7200
2021-01-15;Est-Nord;345000.0;75;26.0;1.0;13269
2021-10-08;Est-Nord;132000.0;75;18.0;1.0;7333
2021-06-30;Est-Nord;1550000.0;75;26.0;1.0;59615
2021-10-19;Est-Nord;151000.0;75;17.0;1.0;8882
2021-01-15;Est-Nord;163000.0;75;17.0;1.0;9588
2021-01-18;Est-Nord;170000.0;75;18.0;1.0;9444
2021-10-04;Est-Nord;110000.0;75;29.0;1.0;3793
2021-07-07;Est-Nord;250000.0;75;32.0;1.0;7812
2021-10-08;Est-Nord;275000.0;75;22.0;1.0;12500
2021-09-30;Est-Nord;152700.0;75;10.0;1.0;15270
2021-06-30;Est-Nord;290000.0;75;29.0;1.0;10000
2021-01-20;Est-Nord;245000.0;75;21.0;1.0;11667
2021-01-29;Est-Nord;463000.0;75;11.0;1.0;42091
2021-01-28;Est-Nord;87000.0;75;9.0;1.0;9667
2021-07-23;Est-Nord;345000.0;75;34.0;1.0;10147
2021-06-25;Est-Nord;203904.4;75;15.0;1.0;13594
2021-01-29;Est-Nord;1186000.0;75;34.0;1.0;34882
2021-07-08;Est-Nord;180830.0;75;16.0;1.0;11302
2021-01-19;Est-Nord;232000.0;75;19.0;1.0;12211
2021-10-15;Est-Nord;115000.0;75;12.0;1.0;9583
2021-07-21;Est-Nord;160279.0;75;14.0;1.0;11448
2021-01-29;Est-Nord;423450.0;75;32.0;1.0;13233
2021-01-13;Est-Nord;250000.0;75;25.0;1.0;10000
2021-01-26;Est-Nord;240000.0;75;19.0;1.0;12632
2021-12-30;Est-Nord;283000.0;75;26.0;1.0;10885
2021-07-05;Est-Nord;259364.0;75;20.0;1.0;12968
2021-01-06;Est-Nord;240000.0;75;18.0;1.0;13333
2021-12-29;Est-Nord;164000.0;75;16.0;1.0;10250
2021-10-07;Est-Nord;139000.0;75;16.0;1.0;8688
2021-12-23;Est-Nord;220000.0;75;18.0;1.0;12222
2021-10-07;Est-Nord;139000.0;75;8.0;1.0;17375
2021-07-08;Est-Nord;165000.0;75;18.0;1.0;9167
2021-12-23;Est-Nord;160000.0;75;24.0;1.0;6667
2021-07-21;Est-Nord;520000.0;75;46.0;1.0;11304
2021-07-02;Est-Nord;239150.0;75;17.0;1.0;14068
2021-12-29;Est-Nord;211000.0;75;20.0;1.0;10550
2021-07-12;Est-Nord;160000.0;75;18.0;1.0;8889
2021-12-20;Est-Nord;273000.0;75;26.0;1.0;10500
2021-12-29;Est-Nord;316000.0;75;32.0;1.0;9875
2021-07-13;Est-Nord;310000.0;75;35.0;1.0;8857
2021-12-21;Est-Nord;488000.0;75;51.0;1.0;9569
2021-07-20;Est-Nord;141050.0;75;18.0;1.0;7836
2021-07-15;Est-Nord;418000.0;75;36.0;1.0;11611
2021-12-30;Est-Nord;170000.0;75;14.0;1.0;12143
2021-09-29;Est-Nord;176000.0;75;18.0;1.0;9778
2021-09-21;Est-Nord;138000.0;75;17.0;1.0;8118
2021-01-19;Est-Nord;373000.0;75;35.0;1.0;10657
2021-07-21;Est-Nord;143000.0;75;15.0;1.0;9533
2021-07-07;Est-Nord;215000.0;75;33.0;1.0;6515
2021-01-19;Est-Nord;265000.0;75;22.0;1.0;12045
2021-06-30;Est-Nord;1550000.0;75;17.0;1.0;91176
2021-06-30;Est-Nord;1550000.0;75;20.0;1.0;77500
2021-01-08;Est-Nord;323290.0;75;29.0;1.0;11148
2021-07-05;Est-Nord;280000.0;75;31.0;1.0;9032
2021-01-12;Est-Nord;275000.0;75;22.0;1.0;12500
2021-10-01;Est-Nord;214241.0;75;22.0;1.0;9738
2021-10-04;Est-Nord;187000.0;75;18.0;1.0;10389
2021-07-20;Est-Nord;342800.0;75;22.0;1.0;15582
2021-10-04;Est-Nord;256000.0;75;22.0;1.0;11636
2021-01-04;Est-Nord;420000.0;75;29.0;1.0;14483
2021-06-29;Est-Nord;424865.0;75;45.0;1.0;9441
2021-06-30;Est-Nord;216000.0;75;21.0;1.0;10286
2021-12-30;Est-Nord;273000.0;75;28.0;1.0;9750
2021-10-06;Est-Nord;210000.0;75;25.0;1.0;8400
2021-07-23;Est-Nord;368000.0;75;30.0;1.0;12267
2021-09-09;Est-Nord;326000.0;75;24.0;1.0;13583
2021-07-26;Est-Nord;310000.0;75;23.0;1.0;13478
2021-09-28;Est-Nord;225000.0;75;26.0;1.0;8654
2021-03-16;Est-Nord;340000.0;75;8.0;1.0;42500
2021-06-24;Est-Nord;221900.0;75;23.0;1.0;9648
2021-07-05;Est-Nord;192500.0;75;18.0;1.0;10694
2021-10-14;Est-Nord;325000.0;75;31.0;1.0;10484
2021-02-04;Est-Nord;285000.0;75;26.0;1.0;10962
2021-06-22;Est-Nord;281000.0;75;28.0;1.0;10036
2021-02-10;Est-Nord;170000.0;75;18.0;1.0;9444
2021-02-17;Est-Nord;200000.0;75;20.0;1.0;10000
2021-06-17;Est-Nord;165000.0;75;12.0;1.0;13750
2021-06-17;Est-Nord;165000.0;75;10.0;1.0;16500
