Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
3;Ouest-Sud;300000.0;75;30.0;1.0;10000
8;Ouest-Sud;535000.0;75;21.0;1.0;25476
7;Ouest-Sud;288000.0;75;14.0;1.0;20571
4;Ouest-Sud;275000.0;75;23.0;1.0;11957
4;Ouest-Sud;178000.0;75;15.0;1.0;11867
7;Ouest-Sud;185000.0;75;18.0;1.0;10278
7;Ouest-Sud;116000.0;75;8.0;1.0;14500
4;Ouest-Sud;270000.0;75;24.0;1.0;11250
2;Ouest-Sud;205000.0;75;18.0;1.0;11389
4;Ouest-Sud;238000.0;75;20.0;1.0;11900
3;Ouest-Sud;300000.0;75;27.0;1.0;11111
3;Ouest-Sud;280000.0;75;25.0;1.0;11200
7;Ouest-Sud;425200.0;75;40.0;1.0;10630
8;Ouest-Sud;254160.0;75;9.0;1.0;28240
7;Ouest-Sud;315000.0;75;19.0;1.0;16579
7;Ouest-Sud;380000.0;75;30.0;1.0;12667
7;Ouest-Sud;385876.0;75;26.0;1.0;14841
4;Ouest-Sud;694900.0;75;72.0;1.0;9651
7;Ouest-Sud;261090.0;75;30.0;1.0;8703
4;Ouest-Sud;220000.0;75;18.0;1.0;12222
3;Ouest-Sud;300000.0;75;26.0;1.0;11538
8;Ouest-Sud;245000.0;75;23.0;1.0;10652
7;Ouest-Sud;96577.0;75;15.0;1.0;6438
8;Ouest-Sud;255000.0;75;18.0;1.0;14167
8;Ouest-Sud;432200.0;75;29.0;1.0;14903
3;Ouest-Sud;90000.0;75;12.0;1.0;7500
8;Ouest-Sud;215000.0;75;16.0;1.0;13438
4;Ouest-Sud;390480.0;75;40.0;1.0;9762
8;Ouest-Sud;238000.0;75;19.0;1.0;12526
3;Ouest-Sud;280000.0;75;32.0;1.0;8750
8;Ouest-Sud;337500.0;75;15.0;1.0;22500
8;Ouest-Sud;314000.0;75;28.0;1.0;11214
8;Ouest-Sud;250160.0;75;25.0;1.0;10006
8;Ouest-Sud;301644.0;75;24.0;1.0;12568
8;Ouest-Sud;216000.0;75;8.0;1.0;27000
8;Ouest-Sud;216000.0;75;9.0;1.0;24000
8;Ouest-Sud;514900.0;75;27.0;1.0;19070
8;Ouest-Sud;295625.0;75;25.0;1.0;11825
8;Ouest-Sud;230000.0;75;20.0;1.0;11500
4;Ouest-Sud;270000.0;75;24.0;1.0;11250
8;Ouest-Sud;335000.0;75;32.0;1.0;10469
8;Ouest-Sud;335000.0;75;32.0;1.0;10469
8;Ouest-Sud;145000.0;75;14.0;1.0;10357
8;Ouest-Sud;157750.0;75;18.0;1.0;8764
8;Ouest-Sud;212800.0;75;19.0;1.0;11200
8;Ouest-Sud;120000.0;75;16.0;1.0;7500
8;Ouest-Sud;229000.0;75;25.0;1.0;9160
3;Ouest-Sud;216000.0;75;20.0;1.0;10800
8;Ouest-Sud;180000.0;75;20.0;1.0;9000
8;Ouest-Sud;263000.0;75;27.0;1.0;9741
3;Ouest-Sud;1000.0;75;24.0;1.0;42
3;Ouest-Sud;309900.0;75;29.0;1.0;10686
8;Ouest-Sud;315000.0;75;27.0;1.0;11667
3;Ouest-Sud;406600.0;75;37.0;1.0;10989
7;Ouest-Sud;477300.0;75;30.0;1.0;15910
7;Ouest-Sud;100000.0;75;16.0;1.0;6250
3;Ouest-Sud;230000.0;75;20.0;1.0;11500
8;Ouest-Sud;440000.0;75;35.0;1.0;12571
8;Ouest-Sud;160000.0;75;20.0;1.0;8000
11;Ouest-Sud;156100.0;75;15.0;1.0;10407
3;Ouest-Sud;200000.0;75;20.0;1.0;10000
8;Ouest-Sud;228000.0;75;20.0;1.0;11400
4;Ouest-Sud;205000.0;75;15.0;1.0;13667
8;Ouest-Sud;233000.0;75;21.0;1.0;11095
8;Ouest-Sud;134073.0;75;11.0;1.0;12188
8;Ouest-Sud;298000.0;75;27.0;1.0;11037
8;Ouest-Sud;105000.0;75;11.0;1.0;9545
8;Ouest-Sud;290000.0;75;25.0;1.0;11600
8;Ouest-Sud;238000.0;75;20.0;1.0;11900
8;Ouest-Sud;415000.0;75;30.0;1.0;13833
4;Ouest-Sud;99400.0;75;12.0;1.0;8283
8;Ouest-Sud;321451.0;75;28.0;1.0;11480
2;Ouest-Sud;380000.0;75;13.0;1.0;29231
9;Ouest-Sud;207000.0;75;18.0;1.0;11500
2;Ouest-Sud;380000.0;75;36.0;1.0;10556
9;Ouest-Sud;145000.0;75;30.0;1.0;4833
3;Ouest-Sud;150000.0;75;11.0;1.0;13636
9;Ouest-Sud;325000.0;75;20.0;1.0;16250
9;Ouest-Sud;105000.0;75;14.0;1.0;7500
9;Ouest-Sud;252000.0;75;21.0;1.0;12000
9;Ouest-Sud;400000.0;75;28.0;1.0;14286
9;Ouest-Sud;206000.0;75;15.0;1.0;13733
2;Ouest-Sud;161600.0;75;14.0;1.0;11543
2;Ouest-Sud;205000.0;75;19.0;1.0;10789
2;Ouest-Sud;97000.0;75;11.0;1.0;8818
3;Ouest-Sud;505610.0;75;44.0;1.0;11491
9;Ouest-Sud;997800.0;75;25.0;1.0;39912
9;Ouest-Sud;133000.0;75;11.0;1.0;12091
2;Ouest-Sud;552885.0;75;40.0;1.0;13822
2;Ouest-Sud;552885.0;75;40.0;1.0;13822
9;Ouest-Sud;306000.0;75;17.0;1.0;18000
9;Ouest-Sud;150000.0;75;16.0;1.0;9375
9;Ouest-Sud;225000.0;75;16.0;1.0;14062
9;Ouest-Sud;345600.0;75;32.0;1.0;10800
2;Ouest-Sud;250000.0;75;25.0;1.0;10000
2;Ouest-Sud;225000.0;75;17.0;1.0;13235
9;Ouest-Sud;245000.0;75;13.0;1.0;18846
2;Ouest-Sud;355000.0;75;34.0;1.0;10441
9;Ouest-Sud;1168501.0;75;16.0;1.0;73031
9;Ouest-Sud;407620.0;75;40.0;1.0;10190
