Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-05-07;Normandie;136800.0;53.0;3.0;2690.0
2021-05-08;Normandie;103000.0;25.0;2.0;4078.0
2021-05-10;Normandie;123157.0;63.0;3.0;1972.0
2021-05-11;Normandie;125340.0;52.0;2.0;2467.0
2021-05-12;Normandie;120669.0;49.0;2.0;2663.0
2021-05-14;Normandie;153695.0;69.0;3.0;2454.0
2021-05-15;Normandie;95124.0;34.0;2.0;3081.0
2021-05-17;Normandie;146773.0;63.0;3.0;2418.0
2021-05-18;Normandie;143705.0;48.0;2.0;3794.0
2021-05-19;Normandie;224359.0;58.0;3.0;4646.0
2021-05-20;Normandie;120837.0;59.0;3.0;2209.0
2021-05-21;Normandie;140531.0;54.0;2.0;2668.0
2021-05-22;Normandie;81150.0;44.0;2.0;1834.0
2021-05-24;Normandie;68000.0;54.0;3.0;1259.0
2021-05-25;Normandie;134846.0;51.0;3.0;3403.0
2021-05-26;Normandie;126545.0;53.0;3.0;2687.0
2021-05-27;Normandie;117878.0;57.0;3.0;2140.0
2021-05-28;Normandie;157323.0;50.0;2.0;3120.0
2021-05-29;Normandie;90835.0;43.0;2.0;2422.0
2021-05-31;Normandie;157082.0;49.0;2.0;5889.0
2021-06-01;Normandie;117551.0;52.0;2.0;2467.0
2021-06-02;Normandie;201870.0;73.0;3.0;2381.0
2021-06-03;Normandie;100591.0;53.0;2.0;2221.0
2021-06-04;Normandie;129774.0;63.0;3.0;2344.0
2021-06-05;Normandie;143767.0;47.0;2.0;3075.0
2021-06-07;Normandie;104977.0;55.0;2.0;2074.0
2021-06-08;Normandie;149173.0;57.0;3.0;2680.0
2021-06-09;Normandie;146374.0;57.0;3.0;2595.0
2021-06-10;Normandie;120083.0;54.0;3.0;2359.0
2021-06-11;Normandie;140856.0;57.0;2.0;2722.0
2021-06-12;Normandie;105333.0;77.0;3.0;1532.0
2021-06-14;Normandie;114939.0;61.0;3.0;1921.0
2021-06-15;Normandie;119462.0;50.0;2.0;2368.0
2021-06-16;Normandie;142421.0;61.0;3.0;2414.0
2021-06-17;Normandie;93067.0;52.0;2.0;1804.0
2021-06-18;Normandie;117684.0;49.0;2.0;2391.0
2021-06-19;Normandie;92250.0;43.0;2.0;2346.0
2021-06-21;Normandie;132604.0;59.0;3.0;2202.0
2021-06-22;Normandie;133895.0;61.0;3.0;2456.0
2021-06-23;Normandie;114071.0;60.0;3.0;2005.0
2021-06-24;Normandie;111706.0;50.0;2.0;2347.0
2021-06-25;Normandie;106867.0;52.0;3.0;2247.0
2021-06-26;Normandie;94750.0;59.0;3.0;1572.0
2021-06-28;Normandie;117019.0;56.0;3.0;4266.0
2021-06-29;Normandie;286725.0;57.0;3.0;5283.0
2021-06-30;Normandie;103585.0;55.0;3.0;2547.0
2021-07-01;Normandie;247660.0;41.0;2.0;12831.0
2021-07-02;Normandie;119351.0;62.0;2.0;3405.0
2021-07-03;Normandie;96083.0;50.0;2.0;1813.0
2021-07-05;Normandie;121374.0;55.0;3.0;2245.0
2021-07-06;Normandie;170977.0;66.0;3.0;2868.0
2021-07-07;Normandie;116810.0;55.0;3.0;2268.0
