Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-04-01;Auvergne-Rhône-Alpes;194774.0;63.0;3.0;3528.0
2021-04-02;Auvergne-Rhône-Alpes;235773.0;65.0;3.0;4220.0
2021-04-03;Auvergne-Rhône-Alpes;98494.0;60.0;2.0;1790.0
2021-04-04;Auvergne-Rhône-Alpes;82000.0;69.0;5.0;1188.0
2021-04-05;Auvergne-Rhône-Alpes;187150.0;66.0;3.0;2836.0
2021-04-06;Auvergne-Rhône-Alpes;179099.0;61.0;3.0;3158.0
2021-04-08;Auvergne-Rhône-Alpes;193151.0;61.0;3.0;3406.0
2021-04-09;Auvergne-Rhône-Alpes;206065.0;62.0;3.0;3662.0
2021-04-10;Auvergne-Rhône-Alpes;104083.0;53.0;2.0;1971.0
2021-04-12;Auvergne-Rhône-Alpes;207191.0;64.0;3.0;3347.0
2021-04-13;Auvergne-Rhône-Alpes;186580.0;66.0;3.0;3292.0
2021-04-14;Auvergne-Rhône-Alpes;203728.0;64.0;3.0;3236.0
2021-04-15;Auvergne-Rhône-Alpes;217996.0;66.0;3.0;3594.0
2021-04-16;Auvergne-Rhône-Alpes;199357.0;65.0;3.0;3177.0
2021-04-17;Auvergne-Rhône-Alpes;149012.0;63.0;3.0;2535.0
2021-04-19;Auvergne-Rhône-Alpes;178335.0;63.0;3.0;3128.0
2021-04-20;Auvergne-Rhône-Alpes;247097.0;65.0;3.0;4192.0
2021-04-21;Auvergne-Rhône-Alpes;190075.0;63.0;3.0;3060.0
2021-04-22;Auvergne-Rhône-Alpes;220327.0;64.0;3.0;3154.0
2021-04-23;Auvergne-Rhône-Alpes;176216.0;57.0;3.0;3429.0
2021-04-24;Auvergne-Rhône-Alpes;104183.0;67.0;3.0;1540.0
2021-04-26;Auvergne-Rhône-Alpes;193210.0;63.0;3.0;3208.0
2021-04-27;Auvergne-Rhône-Alpes;192869.0;66.0;3.0;3611.0
2021-04-28;Auvergne-Rhône-Alpes;205506.0;65.0;3.0;3401.0
2021-04-29;Auvergne-Rhône-Alpes;178873.0;62.0;3.0;4036.0
2021-05-03;Auvergne-Rhône-Alpes;206474.0;61.0;3.0;3568.0
2021-05-04;Auvergne-Rhône-Alpes;318633.0;54.0;2.0;9003.0
2021-05-05;Auvergne-Rhône-Alpes;198164.0;62.0;3.0;3386.0
2021-05-06;Auvergne-Rhône-Alpes;181173.0;61.0;3.0;3282.0
2021-05-07;Auvergne-Rhône-Alpes;185711.0;63.0;3.0;3193.0
2021-05-08;Auvergne-Rhône-Alpes;175558.0;65.0;3.0;2886.0
2021-05-10;Auvergne-Rhône-Alpes;169294.0;60.0;3.0;2986.0
2021-05-11;Auvergne-Rhône-Alpes;183439.0;66.0;3.0;3032.0
2021-05-12;Auvergne-Rhône-Alpes;197320.0;63.0;3.0;3431.0
2021-05-13;Auvergne-Rhône-Alpes;69500.0;21.0;2.0;3310.0
2021-05-14;Auvergne-Rhône-Alpes;168108.0;63.0;3.0;2763.0
2021-05-15;Auvergne-Rhône-Alpes;87236.0;57.0;3.0;2014.0
2021-05-17;Auvergne-Rhône-Alpes;279441.0;64.0;3.0;5374.0
2021-05-18;Auvergne-Rhône-Alpes;199991.0;63.0;3.0;3441.0
2021-05-19;Auvergne-Rhône-Alpes;187888.0;61.0;3.0;3401.0
2021-05-20;Auvergne-Rhône-Alpes;211953.0;62.0;3.0;3847.0
2021-05-21;Auvergne-Rhône-Alpes;230295.0;62.0;3.0;4389.0
2021-05-22;Auvergne-Rhône-Alpes;178178.0;66.0;3.0;2800.0
2021-05-24;Auvergne-Rhône-Alpes;259292.0;58.0;2.0;4205.0
2021-05-25;Auvergne-Rhône-Alpes;390779.0;62.0;3.0;7860.0
2021-05-26;Auvergne-Rhône-Alpes;175453.0;66.0;3.0;3215.0
2021-05-27;Auvergne-Rhône-Alpes;220144.0;66.0;3.0;3657.0
2021-05-28;Auvergne-Rhône-Alpes;205802.0;64.0;3.0;3441.0
2021-05-29;Auvergne-Rhône-Alpes;146340.0;60.0;3.0;2626.0
2021-05-31;Auvergne-Rhône-Alpes;209871.0;62.0;3.0;3671.0
2021-06-01;Auvergne-Rhône-Alpes;197111.0;72.0;3.0;3311.0
2021-06-02;Auvergne-Rhône-Alpes;170406.0;62.0;3.0;3345.0
2021-06-03;Auvergne-Rhône-Alpes;211125.0;64.0;3.0;3706.0
2021-06-04;Auvergne-Rhône-Alpes;234151.0;65.0;3.0;3903.0
2021-06-05;Auvergne-Rhône-Alpes;120688.0;51.0;2.0;2720.0
2021-06-07;Auvergne-Rhône-Alpes;221507.0;65.0;3.0;3918.0
2021-06-08;Auvergne-Rhône-Alpes;181973.0;63.0;3.0;3289.0
2021-06-09;Auvergne-Rhône-Alpes;202065.0;63.0;3.0;4381.0
2021-06-10;Auvergne-Rhône-Alpes;178591.0;64.0;3.0;2880.0
2021-06-11;Auvergne-Rhône-Alpes;187960.0;62.0;3.0;3503.0
2021-06-12;Auvergne-Rhône-Alpes;146745.0;55.0;3.0;3012.0
2021-06-14;Auvergne-Rhône-Alpes;233396.0;67.0;3.0;3417.0
2021-06-15;Auvergne-Rhône-Alpes;184973.0;62.0;3.0;3156.0
2021-06-16;Auvergne-Rhône-Alpes;183637.0;59.0;3.0;3329.0
2021-06-17;Auvergne-Rhône-Alpes;218367.0;64.0;3.0;3876.0
2021-06-18;Auvergne-Rhône-Alpes;182610.0;62.0;3.0;3567.0
2021-06-19;Auvergne-Rhône-Alpes;152819.0;72.0;3.0;2346.0
2021-06-21;Auvergne-Rhône-Alpes;196222.0;65.0;3.0;3199.0
2021-06-22;Auvergne-Rhône-Alpes;178931.0;59.0;3.0;3951.0
2021-06-23;Auvergne-Rhône-Alpes;216551.0;65.0;3.0;3390.0
2021-06-24;Auvergne-Rhône-Alpes;155563.0;58.0;3.0;3028.0
2021-06-25;Auvergne-Rhône-Alpes;189175.0;63.0;3.0;3147.0
2021-06-26;Auvergne-Rhône-Alpes;123014.0;63.0;3.0;2059.0
2021-06-28;Auvergne-Rhône-Alpes;201323.0;63.0;3.0;3278.0
2021-06-29;Auvergne-Rhône-Alpes;194618.0;62.0;3.0;3335.0
2021-06-30;Auvergne-Rhône-Alpes;218664.0;67.0;3.0;3576.0
2021-07-01;Auvergne-Rhône-Alpes;205681.0;60.0;3.0;3688.0
2021-07-02;Auvergne-Rhône-Alpes;204787.0;67.0;3.0;3115.0
2021-07-03;Auvergne-Rhône-Alpes;95680.0;56.0;3.0;1838.0
2021-07-05;Auvergne-Rhône-Alpes;213017.0;68.0;3.0;3317.0
2021-07-06;Auvergne-Rhône-Alpes;198891.0;65.0;3.0;3959.0
2021-07-07;Auvergne-Rhône-Alpes;213401.0;65.0;3.0;3386.0
2021-07-08;Auvergne-Rhône-Alpes;211385.0;66.0;3.0;3368.0
2021-07-09;Auvergne-Rhône-Alpes;204528.0;66.0;3.0;3265.0
2021-07-10;Auvergne-Rhône-Alpes;162852.0;67.0;3.0;2601.0
2021-07-12;Auvergne-Rhône-Alpes;230137.0;71.0;3.0;3369.0
2021-07-13;Auvergne-Rhône-Alpes;215631.0;66.0;3.0;3531.0
2021-07-14;Auvergne-Rhône-Alpes;250000.0;22.0;1.0;11364.0
2021-07-15;Auvergne-Rhône-Alpes;188649.0;66.0;3.0;3074.0
2021-07-16;Auvergne-Rhône-Alpes;188888.0;65.0;3.0;3115.0
2021-07-17;Auvergne-Rhône-Alpes;86347.0;49.0;3.0;1671.0
2021-07-20;Auvergne-Rhône-Alpes;178455.0;66.0;3.0;2839.0
2021-07-21;Auvergne-Rhône-Alpes;198393.0;66.0;3.0;3113.0
2021-07-22;Auvergne-Rhône-Alpes;276811.0;62.0;3.0;5872.0
2021-07-23;Auvergne-Rhône-Alpes;192425.0;67.0;3.0;3149.0
2021-07-24;Auvergne-Rhône-Alpes;49720.0;40.0;2.0;1452.0
2021-07-26;Auvergne-Rhône-Alpes;194447.0;66.0;3.0;3058.0
2021-07-27;Auvergne-Rhône-Alpes;195831.0;62.0;3.0;3516.0
2021-07-28;Auvergne-Rhône-Alpes;215808.0;67.0;3.0;3244.0
2021-07-29;Auvergne-Rhône-Alpes;214213.0;61.0;3.0;3756.0
2021-07-30;Auvergne-Rhône-Alpes;210165.0;65.0;3.0;3642.0
2021-07-31;Auvergne-Rhône-Alpes;129192.0;57.0;2.0;2531.0
2021-08-02;Auvergne-Rhône-Alpes;185395.0;63.0;3.0;3235.0
2021-08-03;Auvergne-Rhône-Alpes;199719.0;67.0;3.0;4107.0
2021-08-04;Auvergne-Rhône-Alpes;172702.0;65.0;3.0;2946.0
2021-08-05;Auvergne-Rhône-Alpes;189067.0;64.0;3.0;3070.0
2021-08-06;Auvergne-Rhône-Alpes;196721.0;63.0;3.0;3402.0
2021-08-07;Auvergne-Rhône-Alpes;106300.0;46.0;2.0;2704.0
2021-08-09;Auvergne-Rhône-Alpes;224147.0;68.0;3.0;3306.0
2021-08-10;Auvergne-Rhône-Alpes;179289.0;58.0;3.0;3802.0
