Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-04-24;Haut-De-France;156100.0;74.0;2.0;2154.0
2021-04-26;Haut-De-France;145016.0;55.0;3.0;2802.0
2021-04-27;Haut-De-France;149687.0;54.0;3.0;2998.0
2021-04-28;Haut-De-France;164908.0;59.0;3.0;2866.0
2021-04-29;Haut-De-France;154080.0;63.0;3.0;2590.0
2021-04-30;Haut-De-France;150699.0;56.0;3.0;2953.0
2021-05-03;Haut-De-France;160624.0;58.0;2.0;3121.0
2021-05-04;Haut-De-France;140690.0;57.0;3.0;2719.0
2021-05-05;Haut-De-France;162677.0;57.0;3.0;3270.0
2021-05-06;Haut-De-France;150293.0;55.0;2.0;3244.0
2021-05-07;Haut-De-France;144917.0;56.0;2.0;2878.0
2021-05-10;Haut-De-France;167559.0;60.0;2.0;2942.0
2021-05-11;Haut-De-France;189654.0;55.0;3.0;5210.0
2021-05-12;Haut-De-France;179421.0;63.0;3.0;3131.0
2021-05-13;Haut-De-France;130000.0;72.0;3.0;1806.0
2021-05-14;Haut-De-France;223565.0;66.0;3.0;3397.0
2021-05-15;Haut-De-France;110417.0;67.0;3.0;1719.0
2021-05-17;Haut-De-France;182832.0;59.0;3.0;3610.0
2021-05-18;Haut-De-France;162449.0;60.0;3.0;3016.0
2021-05-19;Haut-De-France;157124.0;57.0;2.0;2813.0
2021-05-20;Haut-De-France;181042.0;57.0;2.0;3945.0
2021-05-21;Haut-De-France;148638.0;57.0;2.0;3037.0
2021-05-22;Haut-De-France;166175.0;45.0;2.0;3356.0
2021-05-24;Haut-De-France;237000.0;45.0;3.0;5267.0
2021-05-25;Haut-De-France;228205.0;60.0;3.0;4501.0
2021-05-26;Haut-De-France;141572.0;57.0;3.0;2676.0
2021-05-27;Haut-De-France;138725.0;56.0;3.0;2701.0
2021-05-28;Haut-De-France;146098.0;55.0;3.0;2816.0
2021-05-29;Haut-De-France;102322.0;48.0;2.0;2241.0
2021-05-31;Haut-De-France;135621.0;56.0;2.0;2595.0
2021-06-01;Haut-De-France;179589.0;60.0;3.0;3141.0
2021-06-02;Haut-De-France;472493.0;59.0;3.0;8916.0
2021-06-03;Haut-De-France;163985.0;55.0;2.0;3185.0
2021-06-04;Haut-De-France;146905.0;55.0;2.0;2816.0
2021-06-05;Haut-De-France;66792.0;48.0;2.0;1813.0
2021-06-07;Haut-De-France;157333.0;55.0;2.0;3142.0
2021-06-08;Haut-De-France;140907.0;54.0;2.0;3158.0
2021-06-09;Haut-De-France;140324.0;54.0;2.0;2938.0
2021-06-10;Haut-De-France;149902.0;56.0;2.0;2769.0
2021-06-11;Haut-De-France;166035.0;58.0;3.0;2976.0
2021-06-12;Haut-De-France;162550.0;49.0;2.0;3643.0
2021-06-14;Haut-De-France;179597.0;65.0;3.0;3054.0
2021-06-15;Haut-De-France;193915.0;65.0;3.0;3039.0
2021-06-16;Haut-De-France;186226.0;66.0;3.0;2936.0
2021-06-17;Haut-De-France;155768.0;54.0;3.0;3148.0
2021-06-18;Haut-De-France;141134.0;57.0;3.0;4336.0
2021-06-19;Haut-De-France;109472.0;53.0;2.0;2127.0
2021-06-21;Haut-De-France;182290.0;52.0;2.0;4314.0
2021-06-22;Haut-De-France;168302.0;53.0;2.0;3481.0
2021-06-23;Haut-De-France;127461.0;60.0;3.0;2249.0
2021-06-24;Haut-De-France;149477.0;57.0;3.0;2775.0
2021-06-25;Haut-De-France;156855.0;56.0;3.0;3111.0
2021-06-26;Haut-De-France;94858.0;45.0;2.0;2342.0
2021-06-28;Haut-De-France;221169.0;63.0;3.0;4011.0
2021-06-29;Haut-De-France;159321.0;63.0;3.0;2693.0
2021-06-30;Haut-De-France;151729.0;58.0;3.0;2735.0
2021-07-01;Haut-De-France;176951.0;52.0;2.0;5539.0
2021-07-02;Haut-De-France;214520.0;50.0;2.0;8089.0
2021-07-03;Haut-De-France;147426.0;57.0;3.0;2529.0
2021-07-05;Haut-De-France;394923.0;57.0;3.0;11591.0
2021-07-06;Haut-De-France;120735.0;62.0;3.0;2349.0
2021-07-07;Haut-De-France;135165.0;58.0;3.0;2470.0
2021-07-08;Haut-De-France;155500.0;63.0;3.0;2676.0
2021-07-09;Haut-De-France;150092.0;56.0;2.0;2856.0
2021-07-10;Haut-De-France;199266.0;73.0;3.0;2389.0
2021-07-12;Haut-De-France;162732.0;55.0;3.0;2967.0
2021-07-13;Haut-De-France;160551.0;64.0;3.0;2600.0
2021-07-15;Haut-De-France;155329.0;59.0;3.0;2871.0
2021-07-16;Haut-De-France;135791.0;65.0;3.0;4567.0
2021-07-17;Haut-De-France;104209.0;51.0;3.0;2113.0
2021-07-20;Haut-De-France;192927.0;59.0;3.0;4021.0
2021-07-21;Haut-De-France;170426.0;58.0;3.0;3719.0
2021-07-22;Haut-De-France;135804.0;61.0;3.0;2568.0
2021-07-23;Haut-De-France;149174.0;57.0;3.0;2894.0
2021-07-24;Haut-De-France;182642.0;61.0;2.0;3256.0
2021-07-26;Haut-De-France;143601.0;56.0;2.0;3454.0
2021-07-27;Haut-De-France;145744.0;57.0;2.0;3007.0
2021-07-28;Haut-De-France;160184.0;62.0;3.0;3129.0
2021-07-29;Haut-De-France;244227.0;58.0;3.0;4103.0
2021-07-30;Haut-De-France;211650.0;58.0;3.0;4470.0
2021-07-31;Haut-De-France;127160.0;61.0;3.0;1881.0
2021-08-02;Haut-De-France;155425.0;65.0;3.0;2484.0
2021-08-03;Haut-De-France;171287.0;67.0;3.0;2809.0
2021-08-04;Haut-De-France;125186.0;47.0;2.0;2970.0
2021-08-05;Haut-De-France;144525.0;58.0;3.0;2838.0
2021-08-06;Haut-De-France;143553.0;54.0;2.0;2884.0
2021-08-07;Haut-De-France;148443.0;62.0;2.0;3041.0
2021-08-09;Haut-De-France;169684.0;60.0;2.0;2922.0
2021-08-10;Haut-De-France;129869.0;51.0;2.0;2862.0
2021-08-11;Haut-De-France;149234.0;60.0;3.0;2502.0
2021-08-12;Haut-De-France;143132.0;48.0;2.0;4645.0
2021-08-13;Haut-De-France;137431.0;57.0;3.0;2645.0
2021-08-14;Haut-De-France;115000.0;44.0;2.0;2808.0
2021-08-15;Haut-De-France;113000.0;68.0;3.0;1662.0
2021-08-16;Haut-De-France;150476.0;61.0;3.0;2666.0
2021-08-17;Haut-De-France;166177.0;56.0;2.0;3182.0
2021-08-18;Haut-De-France;167650.0;58.0;3.0;3145.0
2021-08-19;Haut-De-France;188852.0;64.0;3.0;3173.0
2021-08-20;Haut-De-France;175025.0;60.0;3.0;3312.0
2021-08-21;Haut-De-France;136171.0;30.0;1.0;4059.0
2021-08-23;Haut-De-France;156188.0;57.0;2.0;3064.0
2021-08-24;Haut-De-France;144078.0;52.0;2.0;3785.0
2021-08-25;Haut-De-France;153808.0;59.0;3.0;2863.0
2021-08-26;Haut-De-France;145188.0;57.0;3.0;2796.0
2021-08-27;Haut-De-France;160917.0;56.0;3.0;2961.0
2021-08-28;Haut-De-France;131521.0;53.0;2.0;2571.0
2021-08-30;Haut-De-France;166646.0;55.0;2.0;4328.0
2021-08-31;Haut-De-France;152575.0;57.0;2.0;3267.0
2021-09-01;Haut-De-France;182694.0;60.0;3.0;3182.0
2021-09-02;Haut-De-France;136259.0;53.0;2.0;2782.0
2021-09-03;Haut-De-France;154905.0;56.0;3.0;2995.0
2021-09-04;Haut-De-France;118312.0;52.0;2.0;2267.0
2021-09-06;Haut-De-France;146179.0;56.0;2.0;2835.0
2021-09-07;Haut-De-France;165285.0;61.0;2.0;2923.0
2021-09-08;Haut-De-France;166383.0;58.0;3.0;3382.0
2021-09-09;Haut-De-France;143307.0;56.0;2.0;2957.0
2021-09-10;Haut-De-France;158457.0;55.0;2.0;3191.0
2021-09-11;Haut-De-France;125240.0;56.0;3.0;2266.0
2021-09-13;Haut-De-France;157164.0;58.0;2.0;3283.0
2021-09-14;Haut-De-France;158159.0;57.0;3.0;3311.0
2021-09-15;Haut-De-France;203375.0;61.0;3.0;3366.0
2021-09-16;Haut-De-France;147320.0;61.0;3.0;2569.0
2021-09-17;Haut-De-France;148507.0;53.0;2.0;3382.0
2021-09-18;Haut-De-France;108428.0;40.0;2.0;2710.0
2021-09-20;Haut-De-France;114578.0;50.0;2.0;2542.0
2021-09-21;Haut-De-France;517104.0;60.0;3.0;7924.0
2021-09-22;Haut-De-France;157681.0;58.0;3.0;3035.0
