Commune;Valeur fonciere;Code postal;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
ERAGNY-SUR-OISE;2280051.0;95610.0;67.0;3.0;35243.0
BEZONS;1070936.0;95870.0;58.0;3.0;19897.0
LUZARCHES;134942.0;95270.0;36.0;2.0;12518.0
US;452000.0;95450.0;41.0;2.0;10779.0
BELLOY-EN-FRANCE;187556.0;95270.0;39.0;2.0;7977.0
VIARMES;349757.0;95270.0;52.0;2.0;7510.0
ENGHIEN LES BAINS;302558.0;95880.0;57.0;3.0;5464.0
MAGNY-EN-VEXIN;172650.0;95420.0;36.0;2.0;5459.0
AUVERS-SUR-OISE;250484.0;95430.0;47.0;2.0;5434.0
SAINT-PRIX;311828.0;95390.0;66.0;3.0;5411.0
MERY-SUR-OISE;246019.0;95540.0;62.0;3.0;4607.0
LA ROCHE-GUYON;243333.0;95780.0;70.0;3.0;4409.0
MONTMORENCY;263338.0;95160.0;65.0;3.0;4384.0
PARMAIN;185997.0;95620.0;44.0;2.0;4265.0
CORMEILLES-EN-PARISIS;230625.0;95240.0;56.0;3.0;4244.0
L'ISLE-ADAM;243555.0;95290.0;60.0;3.0;4235.0
PUISEUX-EN-FRANCE;179818.0;95380.0;48.0;2.0;4214.0
EAUBONNE;247438.0;95600.0;64.0;3.0;4144.0
VALLANGOUJARD;233000.0;95810.0;62.0;2.0;4079.0
ANDILLY;225093.0;95580.0;59.0;2.0;4033.0
SOISY SS MONTMORENCY;220357.0;95230.0;61.0;3.0;4006.0
VEMARS;174241.0;95470.0;47.0;2.0;3986.0
VAUREAL;188127.0;95490.0;49.0;2.0;3914.0
ROISSY-EN-FRANCE;195565.0;95700.0;52.0;2.0;3906.0
LE MESNIL-AUBRY;250000.0;95720.0;64.0;3.0;3906.0
HERBLAY-SUR-SEINE;213263.0;95220.0;59.0;3.0;3901.0
BESSANCOURT;200458.0;95550.0;53.0;2.0;3894.0
PIERRELAYE;178730.0;95480.0;52.0;2.0;3875.0
PUISEUX-PONTOISE;164070.0;95650.0;43.0;2.0;3857.0
CORMEILLES-EN-VEXIN;170000.0;95830.0;50.0;2.0;3854.0
VILLERON;223708.0;95380.0;59.0;3.0;3838.0
CHAUMONTEL;291917.0;95270.0;78.0;4.0;3789.0
ERMONT;224464.0;95120.0;65.0;3.0;3785.0
ATTAINVILLE;128500.0;95570.0;34.0;1.0;3779.0
VILLIERS-ADAM;170577.0;95840.0;46.0;2.0;3742.0
ST GRATIEN;221186.0;95210.0;62.0;3.0;3739.0
VALMONDOIS;179125.0;95760.0;52.0;2.0;3729.0
MARGENCY;225133.0;95580.0;64.0;3.0;3684.0
MERIEL;163564.0;95630.0;50.0;2.0;3680.0
ARNOUVILLE;195733.0;95400.0;56.0;3.0;3677.0
DEUIL LA BARRE;201965.0;95170.0;58.0;3.0;3645.0
BONNEUIL-EN-FRANCE;179400.0;95500.0;55.0;2.0;3633.0
MOISSELLES;194088.0;95570.0;53.0;2.0;3622.0
ST LEU LA FORET;185493.0;95320.0;56.0;3.0;3618.0
TAVERNY;193822.0;95150.0;62.0;3.0;3613.0
MOURS;161500.0;95260.0;45.0;2.0;3592.0
LA FRETTE-SUR-SEINE;242090.0;95530.0;68.0;3.0;3581.0
BOUFFEMONT;219048.0;95570.0;62.0;3.0;3567.0
NEUVILLE-SUR-OISE;194500.0;95000.0;55.0;3.0;3536.0
MONTLIGNON;148171.0;95680.0;43.0;2.0;3519.0
MAFFLIERS;180147.0;95560.0;52.0;2.0;3495.0
BELLEFONTAINE;187000.0;95270.0;55.0;2.0;3468.0
SAINT-WITZ;193780.0;95470.0;59.0;2.0;3460.0
JOUY-LE-MOUTIER;183695.0;95280.0;55.0;2.0;3457.0
COURDIMANCHE;169766.0;95800.0;51.0;2.0;3448.0
BEAUCHAMP;207515.0;95250.0;64.0;3.0;3447.0
MARLY-LA-VILLE;125835.0;95670.0;37.0;2.0;3440.0
ASNIERES-SUR-OISE;156543.0;95270.0;46.0;2.0;3437.0
SEUGY;179162.0;95270.0;53.0;2.0;3422.0
LOUVRES;169103.0;95380.0;52.0;2.0;3408.0
SAGY;156750.0;95450.0;46.0;2.0;3406.0
CHARS;109833.0;95750.0;47.0;2.0;3378.0
OSNY;206941.0;95520.0;64.0;3.0;3372.0
FRANCONVILLE LA GARENNE;191630.0;95130.0;62.0;3.0;3372.0
NOINTEL;167992.0;95590.0;52.0;2.0;3362.0
SANNOIS;196659.0;95110.0;62.0;3.0;3361.0
CERGY;172861.0;95433.0;56.0;3.0;3352.0
BAILLET-EN-FRANCE;165359.0;95560.0;51.0;2.0;3339.0
LASSY;160000.0;95270.0;48.0;2.0;3333.0
GROSLAY;195620.0;95410.0;61.0;3.0;3302.0
ARGENTEUIL;176037.0;95100.0;57.0;3.0;3298.0
MONTSOULT;158573.0;95560.0;54.0;2.0;3296.0
MENUCOURT;198174.0;95180.0;61.0;3.0;3294.0
FREPILLON;171608.0;95740.0;54.0;3.0;3273.0
VILLAINES-SOUS-BOIS;178168.0;95570.0;55.0;3.0;3264.0
DOMONT;173709.0;95330.0;56.0;3.0;3263.0
PRESLES;144056.0;95590.0;47.0;2.0;3247.0
FOSSES;173522.0;95470.0;56.0;3.0;3240.0
EZANVILLE;186025.0;95460.0;61.0;3.0;3187.0
BUTRY-SUR-OISE;192000.0;95430.0;62.0;3.0;3161.0
GOUSSAINVILLE;142575.0;95190.0;48.0;2.0;3158.0
PONTOISE;175217.0;95257.0;60.0;3.0;3157.0
PLESSIS-BOUCHARD (LE);205721.0;95130.0;67.0;3.0;3144.0
SAINT-BRICE-SOUS-FORET;189842.0;95350.0;65.0;3.0;3131.0
ENNERY;157500.0;95300.0;54.0;2.0;3126.0
MONTMAGNY;168100.0;95360.0;57.0;3.0;3123.0
ST OUEN L AUMONE;169213.0;95310.0;57.0;3.0;3118.0
CONDECOURT;170000.0;95450.0;57.0;3.0;3097.0
GONESSE;169229.0;95500.0;56.0;3.0;3093.0
BEAUMONT-SUR-OISE;134823.0;95260.0;48.0;2.0;3062.0
BRUYERES-SUR-OISE;163300.0;95820.0;53.0;2.0;3052.0
PERSAN;153311.0;95340.0;51.0;2.0;3042.0
SAINT-MARTIN-DU-TERTRE;144667.0;95270.0;48.0;3.0;3023.0
BRIGNANCOURT;184929.0;95640.0;65.0;3.0;3012.0
CHAMPAGNE SUR-OISE;182420.0;95660.0;64.0;3.0;2922.0
PISCOP;244000.0;95350.0;84.0;4.0;2905.0
SARCELLES;164188.0;95200.0;68.0;3.0;2883.0
FONTENAY-EN-PARISIS;74250.0;95190.0;24.0;1.0;2846.0
NESLES-LA-VALLEE;135000.0;95690.0;48.0;2.0;2744.0
LONGUESSE;164000.0;95450.0;60.0;3.0;2733.0
ECOUEN;169750.0;95440.0;65.0;3.0;2719.0
LE THILLAY;134072.0;95500.0;51.0;2.0;2705.0
BOISSY-L'AILLERIE;163414.0;95650.0;63.0;3.0;2687.0
MONTIGNY LES CORMEILLES;161343.0;95370.0;63.0;3.0;2659.0
HEROUVILLE;127500.0;95300.0;56.0;2.0;2600.0
SURVILLIERS;158852.0;95470.0;66.0;3.0;2590.0
MARINES;144571.0;95640.0;63.0;2.0;2571.0
LIVILLIERS;204500.0;95300.0;84.0;2.0;2458.0
LABBEVILLE;196800.0;95690.0;88.0;2.0;2458.0
FREMAINVILLE;195000.0;95450.0;80.0;3.0;2438.0
VILLIERS-LE-BEL;129862.0;95400.0;57.0;3.0;2406.0
BOISEMONT;183267.0;95000.0;78.0;3.0;2404.0
GARGES-LES-GONESSE;129674.0;95140.0;59.0;3.0;2281.0
MOUSSY;166250.0;95640.0;78.0;4.0;2168.0
AINCOURT;168000.0;95510.0;78.0;3.0;2154.0
LE HEAULME;137400.0;95640.0;64.0;3.0;2140.0
ABLEIGES;262300.0;95450.0;136.0;5.0;1929.0
GENAINVILLE;150833.0;95420.0;88.0;2.0;1715.0
SAINT-CLAIR-SUR-EPTE;78625.0;95770.0;60.0;3.0;1499.0
NUCOURT;181000.0;95420.0;125.0;4.0;1448.0
VETHEUIL;39000.0;95510.0;27.0;2.0;1444.0
SANTEUIL;33000.0;95640.0;27.0;2.0;1222.0
