Commune;Valeur fonciere;Code postal;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
LIVRY-GARGAN;1316050.0;93190.0;53.0;3.0;26828.0
NEUILLY-PLAISANCE;467351.0;93360.0;52.0;3.0;12258.0
LE PRE-SAINT-GERVAIS;362328.0;93310.0;48.0;2.0;7944.0
PANTIN;330405.0;93500.0;47.0;2.0;7894.0
MONTREUIL;384747.0;93100.0;54.0;3.0;7778.0
VILLEPINTE;350995.0;93420.0;56.0;3.0;7467.0
SAINT-OUEN-SUR-SEINE;377484.0;93400.0;52.0;3.0;7391.0
LES LILAS;350585.0;93260.0;49.0;2.0;7353.0
LES PAVILLONS-SOUS-BOIS;356786.0;93320.0;52.0;3.0;7336.0
ROMAINVILLE;316947.0;93230.0;54.0;3.0;6164.0
BAGNOLET;301264.0;93170.0;53.0;3.0;6057.0
BOBIGNY;250210.0;93000.0;53.0;3.0;6057.0
AUBERVILLIERS;240433.0;93300.0;46.0;2.0;5995.0
VILLEMOMBLE;251902.0;93250.0;52.0;3.0;5288.0
SAINT-DENIS;223478.0;93202.0;51.0;3.0;4612.0
LE RAINCY;258492.0;93340.0;59.0;3.0;4549.0
GOURNAY SUR MARNE;188418.0;93460.0;47.0;2.0;4267.0
NOISY-LE-SEC;205722.0;93130.0;53.0;3.0;4225.0
NOISY-LE-GRAND;222951.0;93160.0;57.0;3.0;4205.0
L'ILE-SAINT-DENIS;226460.0;93450.0;59.0;3.0;4123.0
DRANCY;181476.0;93700.0;49.0;3.0;3946.0
GAGNY;195941.0;93220.0;56.0;3.0;3910.0
ROSNY-SOUS-BOIS;210582.0;93110.0;58.0;3.0;3840.0
LA COURNEUVE;168914.0;93120.0;52.0;3.0;3664.0
AULNAY SOUS BOIS;163770.0;93600.0;52.0;3.0;3597.0
LE BLANC-MESNIL;190007.0;93150.0;57.0;3.0;3546.0
LE BOURGET;168938.0;93350.0;54.0;3.0;3432.0
BONDY;166858.0;93140.0;54.0;3.0;3430.0
NEUILLY-SUR-MARNE;189802.0;93330.0;62.0;3.0;3309.0
MONTFERMEIL;191569.0;93370.0;61.0;3.0;3235.0
VAUJOURS;166121.0;93410.0;57.0;3.0;3194.0
PIERREFITTE-SUR-SEINE;169479.0;93380.0;60.0;3.0;2959.0
TREMBLAY-EN-FRANCE;165056.0;93290.0;61.0;3.0;2918.0
STAINS;141289.0;93240.0;52.0;3.0;2840.0
DUGNY;155732.0;93440.0;56.0;3.0;2830.0
EPINAY SUR SEINE;164447.0;93800.0;62.0;3.0;2830.0
VILLETANEUSE;156899.0;93430.0;57.0;3.0;2812.0
COUBRON;164854.0;93470.0;62.0;3.0;2776.0
SEVRAN;138773.0;93270.0;58.0;3.0;2672.0
CLICHY SOUS BOIS;110165.0;93390.0;58.0;3.0;2172.0
