Commune;Valeur fonciere;Code postal;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
COURPALAY;139000.0;77540.0;48.0;3.0;2896.0
FONTENAILLES;160500.0;77370.0;49.0;2.0;2889.0
MARCILLY;153500.0;77139.0;53.0;3.0;2886.0
URY;300000.0;77760.0;104.0;2.0;2885.0
MORMANT;147481.0;77720.0;53.0;2.0;2884.0
CHARTRETTES;199968.0;77590.0;73.0;3.0;2878.0
MOISSY-CRAMAYEL;162593.0;77550.0;58.0;3.0;2873.0
CONGIS-SUR-THEROUANNE;114900.0;77440.0;40.0;2.0;2872.0
CHAMPAGNE SUR SEINE;135131.0;77430.0;50.0;2.0;2866.0
FOUJU;154000.0;77390.0;54.0;3.0;2852.0
MORET-LOING-ET-ORVANNE;146867.0;77250.0;54.0;3.0;2840.0
PRINGY;175278.0;77310.0;61.0;3.0;2839.0
BEAUTHEIL-SAINTS;98300.0;77120.0;35.0;2.0;2828.0
SOLERS;163347.0;77111.0;60.0;3.0;2824.0
POMMEUSE;137225.0;77515.0;53.0;3.0;2772.0
CANNES-ECLUSE;175381.0;77130.0;64.0;3.0;2769.0
CHAUMES-EN-BRIE;139573.0;77390.0;53.0;2.0;2754.0
CHAPELLE-IGER (LA);141000.0;77540.0;52.0;2.0;2744.0
COMBS LA VILLE;161611.0;77380.0;63.0;3.0;2734.0
DAMMARIE LES LYS;141284.0;77190.0;55.0;3.0;2717.0
VAUDOUE (LE);160000.0;77123.0;59.0;4.0;2712.0
SAINT-FARGEAU-PONTHIERRY;150474.0;77310.0;59.0;3.0;2712.0
COUBERT;145106.0;77170.0;55.0;3.0;2690.0
SAVIGNY-LE-TEMPLE;161106.0;77176.0;63.0;3.0;2676.0
VILLENEUVE-LE-COMTE;180000.0;77174.0;68.0;2.0;2612.0
ARBONNE-LA-FORET;261000.0;77630.0;100.0;3.0;2610.0
MOUROUX;129714.0;77120.0;54.0;3.0;2599.0
MAUPERTHUIS;155000.0;77120.0;60.0;4.0;2583.0
AVON;153470.0;77210.0;61.0;3.0;2563.0
DONNEMARIE-DONTILLY;206667.0;77520.0;91.0;5.0;2562.0
FAREMOUTIERS;125957.0;77515.0;59.0;3.0;2562.0
NANTOUILLET;192000.0;77230.0;76.0;4.0;2526.0
SEINE-PORT;222500.0;77240.0;85.0;4.0;2525.0
COULOMMIERS;138358.0;77120.0;58.0;3.0;2507.0
PROVINS;105034.0;77160.0;50.0;2.0;2502.0
MONCOURT FROMONVILLE;135000.0;77140.0;54.0;4.0;2500.0
MONTEREAU FAULT YONNE;119542.0;77130.0;53.0;3.0;2497.0
LA FERTE SOUS JOUARRE;118570.0;77260.0;49.0;2.0;2479.0
BOISSISE-LE-ROI;174500.0;77310.0;82.0;3.0;2472.0
MAISON-ROUGE;63750.0;77370.0;26.0;2.0;2472.0
COUILLY-PONT-AUX-DAMES;155333.0;77860.0;68.0;3.0;2451.0
CHAMPDEUIL;110667.0;77390.0;46.0;2.0;2450.0
VAUX-LE-PENIL;169902.0;77000.0;73.0;3.0;2437.0
ROZAY-EN-BRIE;150200.0;77540.0;63.0;3.0;2409.0
CHARMENTRAY;170000.0;77410.0;73.0;3.0;2390.0
VILLEMER;100000.0;77250.0;50.0;2.0;2348.0
ROCHETTE(LA);143848.0;77000.0;63.0;4.0;2344.0
JOUY-SUR-MORIN;129840.0;77320.0;56.0;3.0;2344.0
MONTHYON;93000.0;77122.0;40.0;2.0;2308.0
COMPANS;212000.0;77290.0;92.0;4.0;2300.0
NANGIS;115792.0;77370.0;55.0;3.0;2292.0
BLANDY;80000.0;77115.0;35.0;1.0;2286.0
OISSERY;230000.0;77178.0;101.0;4.0;2277.0
LIZY-SUR-OURCQ;109225.0;77440.0;50.0;2.0;2239.0
SAINT-AUGUSTIN;118500.0;77515.0;54.0;2.0;2237.0
NOISY-SUR-ECOLE;207150.0;77123.0;92.0;3.0;2223.0
JOUARRE;127125.0;77640.0;58.0;2.0;2192.0
BOISSY-LE-CHATEL;118167.0;77169.0;55.0;3.0;2188.0
AMILLIS;73500.0;77120.0;35.0;1.0;2100.0
CHAILLY-EN-BIERE;110000.0;77930.0;57.0;2.0;2076.0
LIVERDY-EN-BRIE;158500.0;77220.0;94.0;2.0;2041.0
SAINT-PIERRE-LES-NEMOURS;117008.0;77140.0;57.0;3.0;2040.0
POLIGNY;158050.0;77167.0;79.0;3.0;2001.0
VILLEMARECHAL;140000.0;77710.0;71.0;3.0;1972.0
SAINT-GERMAIN-LAXIS;260000.0;77950.0;132.0;4.0;1970.0
LE MEE SUR SEINE;122167.0;77350.0;68.0;3.0;1966.0
SAINT-MAMMES;124685.0;77670.0;72.0;3.0;1934.0
VERNOU-LA-CELLE-SUR-SEINE;179618.0;77670.0;100.0;4.0;1913.0
SEPT-SORTS;90000.0;77260.0;48.0;3.0;1875.0
CHAPELLE-LA-REINE (LA);107516.0;77760.0;56.0;3.0;1858.0
LUMIGNY NESLES ORMEAUX;170000.0;77540.0;101.0;4.0;1783.0
SAINTE-COLOMBE;100167.0;77650.0;57.0;2.0;1763.0
DHUISY;235000.0;77440.0;134.0;5.0;1754.0
ACHERES-LA-FORET;122500.0;77760.0;70.0;4.0;1750.0
AUFFERVILLE;149900.0;77570.0;86.0;3.0;1743.0
MOUSSEAUX-LES-BRAY;49200.0;77480.0;30.0;2.0;1734.0
BRAY-SUR-SEINE;146000.0;77480.0;82.0;4.0;1702.0
CROUY-SUR-OURCQ;98000.0;77840.0;60.0;3.0;1693.0
FONTAINE-LE-PORT;152000.0;77590.0;90.0;2.0;1689.0
LONGUEVILLE;134500.0;77650.0;94.0;4.0;1641.0
NANTEUIL-SUR-MARNE;82000.0;77730.0;50.0;2.0;1621.0
FERTE-GAUCHER (LA);77050.0;77320.0;49.0;2.0;1601.0
CELLE-SUR-MORIN (LA);107000.0;77515.0;67.0;2.0;1597.0
TRILBARDOU;220000.0;77450.0;145.0;5.0;1517.0
SOUPPES-SUR-LOING;92286.0;77460.0;62.0;3.0;1506.0
VARENNES-SUR-SEINE;63000.0;77130.0;45.0;3.0;1400.0
CITRY;120700.0;77730.0;93.0;3.0;1395.0
REBAIS;99990.0;77510.0;72.0;4.0;1389.0
CHATEAU-LANDON;87786.0;77570.0;70.0;3.0;1340.0
EGREVILLE;84533.0;77620.0;69.0;3.0;1303.0
CHANGIS-SUR-MARNE;94000.0;77660.0;78.0;4.0;1205.0
GOUAIX;97500.0;77114.0;88.0;4.0;1081.0
VILLIERS-SAINT-GEORGES;125000.0;77560.0;118.0;4.0;1059.0
MAROLLES-SUR-SEINE;140000.0;77130.0;165.0;6.0;848.0
BEAUMONT-DU-GATINAIS;41000.0;77890.0;67.0;4.0;612.0
LIVRY-SUR-SEINE;38685.0;77000.0;124.0;1.0;608.0
