Commune;Valeur fonciere;Code postal;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
CHAILLY-EN-BRIE;218000.0;77120.0;10.0;1.0;21800.0
BARBIZON;489250.0;77630.0;31.0;1.0;17492.0
CROIX-EN-BRIE (LA);160000.0;77370.0;12.0;1.0;13333.0
SAINT-CYR-SUR-MORIN;82000.0;77750.0;9.0;0.0;9111.0
CHELLES;308642.0;77500.0;54.0;3.0;8477.0
COURTRY;345612.0;77181.0;53.0;3.0;7961.0
FONTAINEBLEAU;303259.0;77300.0;57.0;3.0;6649.0
CHALIFERT;288429.0;77144.0;42.0;2.0;6101.0
SAMOIS SUR SEINE;140367.0;77920.0;26.0;2.0;5776.0
LUZANCY;219885.0;77138.0;46.0;2.0;5100.0
SAINT-FIACRE;292000.0;77470.0;71.0;2.0;4936.0
MONTRY;165799.0;77450.0;43.0;2.0;4903.0
GRETZ-ARMAINVILLIERS;223672.0;77220.0;54.0;3.0;4855.0
MONTEVRAIN;257770.0;77144.0;55.0;3.0;4769.0
SERRIS;260893.0;77700.0;56.0;3.0;4768.0
MAGNY-LE-HONGRE;222385.0;77700.0;50.0;2.0;4736.0
THORIGNY SUR MARNE;202719.0;77400.0;52.0;3.0;4674.0
CROISSY-BEAUBOURG;238200.0;77183.0;53.0;2.0;4509.0
CHESSY;261669.0;77700.0;61.0;3.0;4424.0
MONTIGNY-SUR-LOING;125238.0;77690.0;49.0;2.0;4401.0
FERRIERES-EN-BRIE;204687.0;77164.0;48.0;2.0;4344.0
BUSSY-SAINT-GEORGES;230699.0;77600.0;56.0;3.0;4312.0
SAMMERON;235400.0;77260.0;56.0;3.0;4302.0
FRESNES-SUR-MARNE;197000.0;77410.0;46.0;2.0;4283.0
BAILLY-ROMAINVILLIERS;218260.0;77700.0;53.0;3.0;4265.0
BRIE COMTE ROBERT;201165.0;77170.0;53.0;3.0;4222.0
OZOIR LA FERRIERE;193856.0;77330.0;49.0;2.0;4215.0
MELUN;231080.0;77000.0;51.0;2.0;4213.0
JOSSIGNY;147000.0;77600.0;35.0;2.0;4200.0
OZOUER-LE-VOULGIS;224800.0;77390.0;54.0;2.0;4171.0
VILLENOY;192623.0;77124.0;50.0;2.0;4158.0
VILLEVAUDE;215138.0;77410.0;59.0;3.0;4120.0
VILLENEUVE-SAINT-DENIS;236940.0;77174.0;59.0;3.0;4105.0
TOURNAN-EN-BRIE;166152.0;77220.0;49.0;2.0;4034.0
GUERMANTES;211000.0;77600.0;54.0;3.0;4003.0
POMPONNE;205092.0;77400.0;52.0;2.0;3994.0
SERVON;190043.0;77170.0;49.0;2.0;3949.0
PONTAULT COMBAULT;195085.0;77340.0;52.0;2.0;3947.0
BUSSY-SAINT-MARTIN;234648.0;77600.0;60.0;3.0;3943.0
DAMMARTIN-EN-GOELE;174226.0;77230.0;45.0;2.0;3942.0
COUPVRAY;218133.0;77700.0;55.0;2.0;3941.0
SAINT THIBAULT DES VIGNES;214926.0;77400.0;56.0;3.0;3937.0
ESBLY;169441.0;77450.0;46.0;2.0;3899.0
FAVIERES;186750.0;77220.0;50.0;2.0;3857.0
JOUY-LE-CHATEL;274107.0;77970.0;70.0;3.0;3854.0
CHATELET-EN-BRIE (LE);135743.0;77820.0;46.0;2.0;3837.0
EMERAINVILLE;237937.0;77184.0;65.0;3.0;3837.0
CLAYE-SOUILLY;201677.0;77410.0;54.0;3.0;3814.0
MAINCY;142745.0;77950.0;40.0;2.0;3814.0
LAGNY-SUR-MARNE;189116.0;77400.0;54.0;2.0;3810.0
CHANTELOUP EN BRIE;238301.0;77600.0;64.0;3.0;3794.0
TORCY;218601.0;77200.0;62.0;3.0;3787.0
SAINT-GERMAIN-SUR-MORIN;209512.0;77860.0;58.0;3.0;3777.0
GRESSY;206875.0;77410.0;55.0;3.0;3776.0
LONGPERRIER;170046.0;77230.0;50.0;2.0;3722.0
PONTCARRE;158618.0;77135.0;44.0;2.0;3700.0
MESSY;174994.0;77410.0;48.0;2.0;3676.0
BOIS LE ROI;188071.0;77590.0;51.0;2.0;3669.0
COLLEGIEN;196647.0;77090.0;53.0;2.0;3650.0
ANNET-SUR-MARNE;135650.0;77410.0;38.0;2.0;3647.0
CHEVRY-COSSIGNY;209327.0;77173.0;60.0;3.0;3631.0
GRISY-SUISNES;168050.0;77166.0;48.0;2.0;3621.0
OTHIS;161570.0;77280.0;45.0;2.0;3617.0
CHAMPEAUX;121750.0;77720.0;34.0;2.0;3600.0
MOUSSY-LE-NEUF;164075.0;77230.0;46.0;2.0;3578.0
VAIRES SUR MARNE;205290.0;77360.0;60.0;3.0;3564.0
CHAMPS-SUR-MARNE;223289.0;77420.0;67.0;3.0;3544.0
CRECY LA CHAPELLE;177390.0;77580.0;52.0;2.0;3541.0
LIEUSAINT;195303.0;77127.0;57.0;3.0;3521.0
VERT-SAINT-DENIS;168642.0;77240.0;50.0;2.0;3510.0
SAINT-PATHUS;150200.0;77178.0;45.0;2.0;3496.0
LE PIN;193979.0;77181.0;58.0;3.0;3493.0
SAMOREAU;222750.0;77210.0;67.0;4.0;3482.0
MOUSSY-LE-VIEUX;161429.0;77230.0;49.0;2.0;3479.0
PRESLES-EN-BRIE;158570.0;77220.0;45.0;2.0;3471.0
GUIGNES;184944.0;77390.0;55.0;3.0;3456.0
NANTEUIL-LES-MEAUX;175971.0;77100.0;54.0;2.0;3420.0
ISLES-LES-VILLENOY;195246.0;77450.0;57.0;2.0;3408.0
CHAUCONIN-NEUFMONTIERS;166500.0;77124.0;49.0;2.0;3405.0
NEUFMOUTIERS-EN-BRIE;167670.0;77610.0;50.0;2.0;3405.0
LOGNES;204764.0;77185.0;63.0;3.0;3404.0
BOULEURS;200550.0;77580.0;59.0;3.0;3402.0
CHATRES;179000.0;77610.0;53.0;2.0;3377.0
MITRY MORY;159184.0;77290.0;52.0;3.0;3368.0
LESIGNY;187492.0;77150.0;59.0;2.0;3358.0
RUBELLES;201025.0;77950.0;60.0;3.0;3350.0
ROISSY-EN-BRIE;189661.0;77680.0;63.0;3.0;3350.0
VILLEPARISIS;168852.0;77270.0;53.0;3.0;3341.0
CESSON;173490.0;77240.0;56.0;2.0;3310.0
MAREUIL-LES-MEAUX;133764.0;77100.0;44.0;2.0;3290.0
BOURRON-MARLOTTE;174775.0;77780.0;58.0;2.0;3270.0
CONDE-SAINTE-LIBIAIRE;142000.0;77450.0;46.0;2.0;3259.0
VERNEUIL-L ETANG;146667.0;77390.0;46.0;2.0;3242.0
TOUQUIN;136000.0;77131.0;42.0;2.0;3238.0
MEAUX;170833.0;77100.0;58.0;3.0;3236.0
THOMERY;176800.0;77810.0;55.0;3.0;3215.0
VILLIERS-SUR-MORIN;204352.0;77580.0;67.0;2.0;3194.0
BROU-SUR-CHANTEREINE;172475.0;77177.0;57.0;3.0;3191.0
JUILLY;206900.0;77230.0;65.0;3.0;3189.0
HERICY;107000.0;77850.0;34.0;2.0;3180.0
SAINT-SOUPPLETS;100885.0;77165.0;35.0;1.0;3135.0
HOUSSAYE-EN-BRIE (LA);126500.0;77610.0;41.0;2.0;3124.0
TRILPORT;118018.0;77470.0;41.0;2.0;3112.0
MORTCERF;140838.0;77163.0;46.0;2.0;3106.0
YEBLES;208700.0;77390.0;67.0;3.0;3097.0
VARREDDES;130449.0;77910.0;44.0;2.0;3092.0
THIEUX;131214.0;77230.0;44.0;2.0;3091.0
MARLES-EN-BRIE;111665.0;77610.0;36.0;2.0;3076.0
NANDY;178245.0;77176.0;61.0;3.0;3065.0
QUINCY-VOISINS;190170.0;77860.0;64.0;3.0;3059.0
FONTENAY-TRESIGNY;188211.0;77610.0;63.0;3.0;3051.0
COUTEVROULT;178884.0;77580.0;58.0;3.0;3042.0
NOISIEL;206688.0;77186.0;71.0;3.0;3039.0
SOIGNOLLES-EN-BRIE;155277.0;77111.0;54.0;2.0;3029.0
CHARNY;205210.0;77410.0;69.0;3.0;3021.0
SAINT-MARD;126317.0;77230.0;43.0;2.0;3020.0
VILLENEUVE SOUS DAMMARTIN;181500.0;77230.0;61.0;3.0;2978.0
EVRY-GREGY-SUR-YERRE;240327.0;77166.0;82.0;3.0;2968.0
DAMPMART;175919.0;77400.0;70.0;3.0;2966.0
CREGY-LES-MEAUX;134397.0;77124.0;48.0;2.0;2948.0
GOUVERNES;187000.0;77400.0;65.0;3.0;2921.0
NEMOURS;144872.0;77140.0;50.0;2.0;2910.0
